product_name,brand_manager
BROOKSIDE 100ML FRUITNESS MIXED BERRIES CUP,
BROOKSIDE 100ML FRUITNESS SBERRY CUP,
BROOKSIDE 100ML FRUITNESS VANILLA CUP,
BROOKSIDE 100ML NATURAL YOGHURT CUP,
BROOKSIDE 150ML DISNEY DF STRWBRRY YOG,
BROOKSIDE 150ML DISNEY DF VANILLA YOG,
BROOKSIDE 150ML DOUBLE CREAM,
BROOKSIDE 150ML FRUITNESS MIXED BERRIES CUP,
BROOKSIDE 150ML FRUITNESS SBERRY CUP,
BROOKSIDE 150ML FRUITNESS VANILLA CUP,
BROOKSIDE 150ML NATURAL YOGHURT CUP,
BROOKSIDE 1KG GHEE,
BROOKSIDE 1L FARM FRESH MILK,
BROOKSIDE 1L FUNCTIONAL UHT MILK FIBER & VIT A,
BROOKSIDE 1L FUNCTIONAL UHT MILK OMEGA 3 VIT A & 3D,
BROOKSIDE 1L FUNCTIONAL UHT MILK VIT A & D,
BROOKSIDE 1L LACTOSE FREE UHT MILK,
BROOKSIDE 1L NATURAL LALA BOTTLE,
BROOKSIDE 1L SWEETEND LALA BOTTLE,
BROOKSIDE 1LT 3PK UHT TBA ASST XMAS HAMPER,
BROOKSIDE 1LT ALMOND MILK UNSWEETENED PLANT BASED,
BROOKSIDE 1LT NATURAL YOGHURT,
BROOKSIDE 1LT SOY MILK UNSWEETENED PLANT BASED,
BROOKSIDE 1LT STRAWBERRY YOUGHURT,
BROOKSIDE 1LT UHT LOWFAT MILK,
BROOKSIDE 1LT UHT WHOLE MILK,
BROOKSIDE 1LT VANILLA YOG TR,
BROOKSIDE 1LTR FRESH MILK STANDARD,
BROOKSIDE 2.5KG FULL CREAM MILK POWDER,
BROOKSIDE 200ML  WHOLE MILK TCA,
BROOKSIDE 200ML DISNEY CHOCOLATE FLV MILK,
BROOKSIDE 200ML DISNEY STRAWBRRY FLV MILK,
BROOKSIDE 200ML DISNEY TCA UHT WMILK,
BROOKSIDE 200ML DISNEY VANILLA FLV MILK,
BROOKSIDE 200ML WHIPPING CREAM,
BROOKSIDE 230ML COOKING CREAM CUP,
BROOKSIDE 250G FULL CREAM MILK POWDER,
BROOKSIDE 250G FULL CREAM SATCHET MILK POWDER,
BROOKSIDE 250G NATURAL PROBIOTIC YOGHURT,
BROOKSIDE 250G PROBIOTIC FRUIT CUP YOGHURT STRAWBERRY,
BROOKSIDE 250G PROBIOTIC FRUIT CUP YOGHURT VANILLA,
BROOKSIDE 250G SALTED BUTTER,
BROOKSIDE 250G UNSALTED BUTTER,
BROOKSIDE 250ML ASSORTED 6PK,
BROOKSIDE 250ML BANANA,
BROOKSIDE 250ML BANANA 6PK,
BROOKSIDE 250ML BUBBLE GUM,
